Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5487765,97 Things Every Software Architect Should Know,Richard Monson-Haefel,"Monson-Haefel, Richard",,"=""059652269X""","=""9780596522698""",4,3.62,O'Reilly Media,Paperback,220,2009,2009,,2023/10/14,,,read,,,,0,0
974898,Rules of Management: The Definitive Guide to Managerial Success,Richard Templar,"Templar, Richard",,"=""0273695169""","=""9780273695165""",4,3.88,Pearson Prentice Hall,Paperback,208,2004,2005,,2023/10/08,,,read,,,,0,0
45735766,"JFK and de Gaulle: How America and France Failed in Vietnam, 1961-1963 (Studies In Conflict Diplomacy Peace)",Sean J. McLaughlin,"McLaughlin, Sean J.",,"=""081317774X""","=""9780813177748""",4,4.00,University Press of Kentucky,Hardcover,296,2019,2019,,2023/09/30,,,read,"Upshot: Apparently, Kennedy was a Francophobe, and probably influenced by France's foreign policy failures and WWII record. De Gaulle was arrogant, proud, and apparently bent on France being a super power player. Not a situation where de Gaulle's lessons late learned would make much impression on a youthful administration riding a wave of successes.<br/><br/>",,,1,0
12675109,"Great by Choice: Uncertainty, Chaos, and Luck—Why Some Thrive Despite Them All",James C. Collins,"Collins, James C.","Jim Collins, Morten T. Hansen","=""""","=""""",4,4.09,HarperBusiness,Kindle Edition,183,2011,2011,,2023/09/23,,,read,,,,0,0
36959766,Hyperfocus: How to Be More Productive in a World of Distraction,Chris   Bailey,"Bailey, Chris",,"=""0735273685""","=""9780735273689""",4,3.90,Random House Canada,Hardcover,256,2018,2018,,2023/09/19,,,read,"Very, very tactical. A bit of a counterpoint to, say, Deep Work. Good reinforcement for many tactics I've used or currently using, and good validation on how I use caffeine.",,,1,0
29386,Nathaniel's Nutmeg: How One Man's Courage Changed the Course of History,Giles Milton,"Milton, Giles",,"=""0340696761""","=""9780340696767""",4,3.82,Sceptre,Paperback,388,2005,1999,,2023/09/15,,,read,,,,1,0
56481725,Staff Engineer: Leadership Beyond the Management Track,Will Larson,"Larson, Will",Tanya Reilly,"=""1736417908""","=""""",4,4.07,Will Larson,Kindle Edition,337,2021,,,2023/09/13,,,read,,,,0,0
8310410,Multipliers: How the Best Leaders Make Everyone Smarter,Liz Wiseman,"Wiseman, Liz",Greg McKeown,"=""0061964395""","=""9780061964398""",0,3.99,HarperBusiness,Hardcover,288,2010,2010,,2022/02/26,,,read,"Read maybe 30%, skimmed most of the remaining, was not able to finish it in detail.<br/><br/>I suspect people who like this book will really, really like it, and people who don't, really won't.<br/><br/>I may revisit after reading Essentialism.",,,1,0
1020063,Snowball Earth: The Story of the Great Global Catastrophe That Spawned Life as We Know It,Gabrielle Walker,"Walker, Gabrielle",,"=""0609609734""","=""9780609609736""",4,3.99,Crown,Hardcover,288,2003,2003,,2023/09/06,,,read,,,,1,0
8562119,Power: Why Some People Have it and Others Don't,Jeffrey Pfeffer,"Pfeffer, Jeffrey",,"=""0061789089""","=""9780061789083""",4,3.87,Harper Business,Hardcover,288,2010,2010,,2023/09/05,,,read,,,,1,0
27423648,"The Typhoon Truce, 1970: Three Days in Vietnam when Nature Intervened in the War",Robert Curtis,"Curtis, Robert",,"=""""","=""""",5,4.75,Casemate,Kindle Edition,345,2015,2015,,2023/08/26,,,read,,,,1,0
18770267,Make It Stick: The Science of Successful Learning,Peter C. Brown,"Brown, Peter C.","Henry L. Roediger III, Mark A. McDaniel","=""0674729013""","=""9780674729018""",4,4.16,Belknap Press: An Imprint of Harvard University Press,Hardcover,313,2014,2014,,2023/08/26,,,read,,,,1,0
6899290,"Your Brain at Work: Strategies for Overcoming Distraction, Regaining Focus, and Working Smarter All Day Long",David Rock,"Rock, David",,"=""0061771295""","=""9780061771293""",4,4.08,Harper Business,Hardcover,246,2009,2009,,2023/08/19,,,read,,,,0,0
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",,"=""1443442313""","=""9781443442312""",4,4.08,Collins,Hardcover,277,2016,2016,,2023/08/06,,,read,,,,1,0
1913430,People's War People's Army: The Viet Cong Insurrection Manual for Underdeveloped Countries,Võ Nguyên Giáp,"Giáp, Võ Nguyên",,"=""0898753716""","=""9780898753714""",3,3.59,University Press of the Pacific,Paperback,232,2001,1961,,2023/07/29,,,read,The staggering volume of Marxist-Leninist claptrap precludes easily extracting strategic lessons. Or perhaps that is one of the lessons.,,,1,0
52831460,Autopsy of an Unwinnable War: Vietnam,William C. Haponski,"Haponski, William C.","Jerry J. Burcham, Dave Richard Palmer","=""""","=""""",4,3.86,Casemate Publishers,Kindle Edition,276,2019,,,2023/06/23,,,read,,,,1,0
57654871,Tango 1-1: 9th Infantry Division LRPs in the Vietnam Delta,Jim Thayer,"Thayer, Jim",,"=""""","=""""",4,4.44,Pen & Sword Military,Kindle Edition,188,2020,,,2023/05/17,,,read,,,,1,0
8386138,The Easter Offensive of 1972 (Carr's Compendium of the Vietnam War: Indochina Monographs Collection),Ngo Quang Truong,"Truong, Ngo Quang",,"=""""","=""""",5,4.50,,Kindle Edition,244,,1979,,2023/05/10,,,read,The best of the series so far.,,,1,0
55723020,Dopamine Nation: Finding Balance in the Age of Indulgence,Anna Lembke,"Lembke, Anna",,"=""1524746738""","=""9781524746735""",4,3.93,Dutton Books,Unknown Binding,305,2021,2021,,2023/02/04,,,read,,,,1,0
54716655,Kill It with Fire: Manage Aging Computer Systems (and Future Proof Modern Ones),Marianne Bellotti,"Bellotti, Marianne",,"=""1718501188""","=""9781718501188""",4,4.17,No Starch Press,Paperback,248,2021,,,2023/01/22,,,read,,,,1,0
59653863,Break in the Chain—Intelligence Ignored: Military Intelligence in Vietnam and Why the Easter Offensive Should Have Turned out Differently,W.R. Baker,"Baker, W.R.",,"=""""","=""""",4,4.25,Casemate,Kindle Edition,264,2021,,,2022/12/25,,,read,Good NVA OOB for Easter Offensive.,,,1,0
3793373,War & Hope: The Case For Cambodia,Norodom Sihanouk,"Sihanouk, Norodom",,"=""0394511158""","=""9780394511153""",4,3.57,"Pantheon Books/Random House, Inc.",Hardcover,166,1980,1980,,2022/11/25,,,read,,,,1,0
25391377,Strategy and Tactics (Indochina Monographs),Col. Hoang Ngoc Lung,"Lung, Col. Hoang Ngoc",,"=""""","=""""",4,4.00,Pickle Partners Publishing,Kindle Edition,141,2015,2015,,2022/11/07,,,read,,,,1,0
37754309,Intelligence (Indochina Monographs Book 2),Col. Hoang Ngoc Lung,"Lung, Col. Hoang Ngoc",,"=""1786254565""","=""9781786254566""",4,4.00,Normanby Press,Kindle Edition,324,2015,2015,,2022/10/21,,,read,"Detailed and intricate analysis of the structure of GVN intelligence services, operations, successes, and failures during the Vietnam war.",,,1,0
28951428,Radical Focus : Achieving Your Most Important Goals with Objectives and Key Results ( OKRs ),Christina Wodtke,"Wodtke, Christina",,"=""""","=""""",4,3.97,,Kindle Edition,147,2016,2016,,2022/10/03,,,read,,,,1,0
156819,Fire From The Sky: Seawolf Gunships in the Mekong Delta,Richard C. Knott,"Knott, Richard C.",,"=""1591144477""","=""9781591144472""",4,4.29,U.S. Naval Institute Press,Hardcover,256,2005,2005,,2022/10/02,,,read,,,,1,0
7332,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Ted Nasmith","=""0618391118""","=""9780618391110""",5,4.00,Houghton Mifflin Company,Hardcover,386,2004,1977,,2022/09/26,,,read,,,,1,0
15837590,Pacification,Tran Dinh Tho,"Tho, Tran Dinh",,"=""""","=""""",5,5.00,U.S. Government Printing Office/U.S. Army Center for Military History,Paperback,219,1977,1977,,2022/09/25,,,read,"First half outlines the thinking and structure pursued by GVN and FWA for nation building in the hinterland. Second half details successes and failures. Per previous monographs in this series, fingers are occasionally pointed, but the author's restraint is admirable. Stats for VC terror are listed. FWA military involvement put into context of DRV's military escalation resulting from at least partial GVN successes with the various hamlet and village programs instituted by the Diem administration. Reread.",,,1,0
23526564,Holacracy: The New Management System for a Rapidly Changing World,Brian J. Robertson,"Robertson, Brian J.",,"=""162779428X""","=""9781627794282""",0,3.72,Henry Holt and Co.,Hardcover,240,2015,2015,,2022/09/10,,,read,,,,1,0
3201572,North Vietnam And The Pathet Lao: Partners In The Struggle For Laos (A RAND Corporation Study),Paul F. Langer,"Langer, Paul F.",Joseph J. Zasloff,"=""0674626753""","=""9780674626751""",4,4.00,Harvard University Press,Hardcover,276,1970,1970,,2022/08/27,,,read,,,,1,0
4477,Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,"Gawande, Atul",,"=""0312421702""","=""9780312421700""",5,4.27,Picador,Paperback,270,2003,,,2022/08/27,,,read,,,,1,0
